Max Fitness:   97.65
Min Fitness:   82.5
Avg Fitness:   91.8535
[32] - 0101011101101111000101110111110100010011 - [accuracy: 95.5, numBits: 24, time: 233.945]
[33] - 0111111111100011010110010111011101111010 - [accuracy: 95.5, numBits: 27, time: 390.068]
[34] - 1011110010111101000000000101000001001010 - [accuracy: 95.55, numBits: 16, time: 198.804]
[35] - 1101001000010101000000011000000001001110 - [accuracy: 95.7, numBits: 13, time: 103.21]
[36] - 0101111101101111000101111000000001010111 - [accuracy: 95.7, numBits: 21, time: 270.463]
[37] - 0100011010011101010010010010011000110110 - [accuracy: 95.7, numBits: 18, time: 230.258]
[38] - 1000001001000011010101100110111010100010 - [accuracy: 95.75, numBits: 17, time: 166.567]
[39] - 1101001000010110111000111000000001001110 - [accuracy: 95.8, numBits: 17, time: 171.016]
[40] - 1100100110100110011000000000110011010110 - [accuracy: 95.8, numBits: 17, time: 201.104]
[41] - 1101001000010110111010110101110000110110 - [accuracy: 95.8, numBits: 21, time: 279.805]
[42] - 0110100010011110010001111001101000100110 - [accuracy: 95.85, numBits: 18, time: 229.763]
[43] - 1010000001100111001001011110011001101111 - [accuracy: 95.85, numBits: 21, time: 273.779]
[44] - 0100010011010110110001110000101111101000 - [accuracy: 95.9, numBits: 19, time: 229.851]
[45] - 0101011010010000111010101111001010111010 - [accuracy: 96.05, numBits: 24, time: 418.547]
[46] - 0011011100111111010010000001001100100110 - [accuracy: 96.05, numBits: 19, time: 234.631]
[47] - 0011011100111111010010000001001100100110 - [accuracy: 96.05, numBits: 19, time: 239.106]
[48] - 0000011111111100111000000100011101001010 - [accuracy: 96.05, numBits: 19, time: 256.294]
[49] - 1000111001111110010001111010001111101000 - [accuracy: 96.15, numBits: 24, time: 415.481]
[50] - 1110010000110001010011100000001101111010 - [accuracy: 96.15, numBits: 23, time: 285.204]
[51] - 0101111110100111001111001111101000101011 - [accuracy: 96.2, numBits: 25, time: 324.095]
[52] - 1101001000011111100100111010001110001000 - [accuracy: 96.2, numBits: 22, time: 296.063]
[53] - 1000111001111110001011100000001101011101 - [accuracy: 96.25, numBits: 21, time: 323.136]
[54] - 0001011010010110111011110101000000111011 - [accuracy: 96.3, numBits: 21, time: 266.872]
[55] - 1001100010111101000100011000000101011110 - [accuracy: 96.35, numBits: 18, time: 195.397]
[56] - 0001001100010110111010110101110000110111 - [accuracy: 96.35, numBits: 21, time: 262.74]
[57] - 0110000001000001001111010000001101011110 - [accuracy: 96.4, numBits: 19, time: 243.337]
[58] - 0111111111111110001011100000001101011110 - [accuracy: 96.4, numBits: 25, time: 319.335]
[59] - 0100011010011101011010110001110011111001 - [accuracy: 96.45, numBits: 19, time: 210.742]
[60] - 0101011101101111000101110101110001111110 - [accuracy: 96.45, numBits: 20, time: 342.479]
[61] - 0101010010010111001001011111101111000000 - [accuracy: 96.5, numBits: 21, time: 270.529]
[62] - 0100010011010110110001110000101111101000 - [accuracy: 96.55, numBits: 24, time: 321.66]
[63] - 1101001000011111100101100110111010100011 - [accuracy: 96.55, numBits: 22, time: 307.384]
[64] - 0101011101101111000101110011110100010011 - [accuracy: 96.6, numBits: 27, time: 369.797]
[65] - 1010000001100111001001011101110001111010 - [accuracy: 96.6, numBits: 20, time: 257.993]
[66] - 0001011010010110111010110101000001001010 - [accuracy: 96.65, numBits: 18, time: 233.515]
[67] - 0110101110110110100111111001101100001010 - [accuracy: 96.65, numBits: 23, time: 298.684]
[68] - 0100011010011101011010010010011000100000 - [accuracy: 96.65, numBits: 30, time: 460.884]
[69] - 0111111111100111010110001010011001101010 - [accuracy: 96.7, numBits: 24, time: 330.414]
[70] - 0001011010010110111010110101000001001110 - [accuracy: 96.7, numBits: 23, time: 345.787]
[71] - 1010000001100111001001011110011000110111 - [accuracy: 96.75, numBits: 20, time: 306.729]
[72] - 1101001000010110111010110101110001111110 - [accuracy: 96.75, numBits: 23, time: 306.263]
[73] - 0000011111111110111001011110011001101010 - [accuracy: 96.75, numBits: 24, time: 332.936]
[74] - 0011101011111100111000000101000001001010 - [accuracy: 96.85, numBits: 20, time: 236.088]
[75] - 1000111001111110010001111001101001100110 - [accuracy: 96.85, numBits: 22, time: 362.198]
[76] - 1100100110100110011000000000001101111010 - [accuracy: 96.85, numBits: 17, time: 205.314]
[77] - 1100100110100110011000000000001101111010 - [accuracy: 96.85, numBits: 17, time: 201.752]
[78] - 1101100101001111111010101111001010111010 - [accuracy: 96.9, numBits: 25, time: 365.748]
[79] - 0010100010100111010110001011011100100110 - [accuracy: 96.9, numBits: 19, time: 235.324]
[80] - 1011111110100111001111001111101000101010 - [accuracy: 96.9, numBits: 25, time: 377.081]
[81] - 1010000001100111001001011110011001101010 - [accuracy: 96.95, numBits: 19, time: 221.34]
[82] - 1010000001100111001000000101000001001010 - [accuracy: 96.95, numBits: 19, time: 279.41]
[83] - 1011101110100111111101001011011100100110 - [accuracy: 96.95, numBits: 25, time: 383.46]
[84] - 1101101110010001111110100111010011111110 - [accuracy: 97, numBits: 21, time: 272.534]
[85] - 1011101110100111111101000101110001111110 - [accuracy: 97, numBits: 26, time: 361.223]
[86] - 1011100111011110100010110001110011111111 - [accuracy: 97, numBits: 26, time: 429.305]
[87] - 0110100010011110010001011001101001100011 - [accuracy: 97.05, numBits: 19, time: 210.637]
[88] - 1010001111101111111000001011111000111010 - [accuracy: 97.05, numBits: 24, time: 322.872]
[89] - 0101111110100111011111110011110001111010 - [accuracy: 97.05, numBits: 27, time: 403.174]
[90] - 1010000001100111001001011111101111010111 - [accuracy: 97.1, numBits: 23, time: 307.858]
[91] - 1101101101111110010001111001101001000010 - [accuracy: 97.3, numBits: 22, time: 286.937]
